Index;R-number;Text;NP_Givenness;Structural_Priming;Imperative_conditional;le;NP_Definiteness;Numeric_Classifier;NP_Concreteness;NP_Length;Response;V-P;Filename;Genre;Register;Time;Time_num
2002;0,101525349;...深。由于牛力弱又是旧式犁耕不动，有的牛累得不吃草。有的社员就[[[说出怪话来]]]了，有的说：“犁这深干么事█，这地犁不犁都长庄稼。”有的说：“...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_06.txt;Newspaper;Written;1940-1960;2
2003;0,142438277;...力求其对我个人来说的“多快好省”。我对科学研究一向的认识是：[[[搞出结果来]]]是我扬名于世界、垂名于后世的标志，只有研究工作才是我的。这些腐...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_06.txt;Newspaper;Written;1940-1960;2
1999;0,156679109;...来，跟四个农业社的社长说，有个乡用毛竹里劈下来的黄篾磨成粉，[[[做出糕饼来]]]又香又甜。我们乡里也可办个食品工场，别的工厂也可以办起来，不过...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_06.txt;Newspaper;Written;1940-1960;2
2013;0,10271991;...力了，再不会为干旱发愁了，大自然在我们面前屈服了，我们就可以[[[腾出手来]]]，加快脚步进行农业技术革命。这一工作，今年已部分开始。例如：为...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_06.txt;Newspaper;Written;1940-1960;2
1989;0,882343157;...设备中最复杂的机械传动部分，由一种热力直接作用着水管，能不能[[[排出水来]]]呢？当他把这种想法写信向第一机械工业部汽车拖拉机研究所所长、内...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_06.txt;Newspaper;Written;1940-1960;2
1993;0,136633617;...沈阳风动工具厂等十八个单位一致提出宁肯本企业少办一些事，也要[[[抽出钱来]]]，做为电机制造厂的建厂资金。沈阳高压开关厂把闲置的吊车等设备献...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_06.txt;Newspaper;Written;1940-1960;2
1994;0,77756091;...拉夫的某些同志企图从各个共产党和工人党在对他们的错误的估计上[[[找出差别来]]]。他们攻击苏联共产党，他们想把中国共产党强调出来，硬说中国共产...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_06.txt;Newspaper;Written;1940-1960;2
2011;0,063982174;...，多数需要掺一部分废钢作材料，而这种小转炉可以全部用高炉生铁[[[炼出钢来]]]。;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_06.txt;Newspaper;Written;1940-1960;2
2046;0,965516725;...了两个月没做什么工作，很苦恼。这时，跟张局长亲近的几个职员又[[[传出话来]]]：“党委派了个外行到我们邮电部门来，拿钱吃饭，不能作事。”他听...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_07.txt;Newspaper;Written;1940-1960;2
2050;0,002732301;...百多个。益都、莱阳、莒南以及济宁、潍坊、威海等县、市都已先后[[[炼出铁来]]]。炼钢成功的捷报也频频传来。济南机车修理厂制造的一座年产两万吨...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_07.txt;Newspaper;Written;1940-1960;2
2047;0,685237437;局长回到他的老部队来了。这个工兵团里的军官，他差不多都能[[[叫出名字来]]]。他还能记住谁是在那年参军的；谁在那年打过一个漂亮仗；谁在那年...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_07.txt;Newspaper;Written;1940-1960;2
2040;0,937508464;...刨起来再说。”群众因为是省里要开的矿，不敢去乱开，张润槐说：[[[开出问题来]]]县委负责。当省里有关部门闻讯赶来的时候，他们已经采出了很多矿石...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_07.txt;Newspaper;Written;1940-1960;2
2036;0,578071178;...们相信群众无穷的创造能力，反对保守，力求进步，同人民群众一起[[[拿出干劲来]]]，建设一个美好的社会主义的北方。;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_07.txt;Newspaper;Written;1940-1960;2
2038;0,363436161;“我们向一切善良的人们[[[伸出手来]]]。我们要用共同的力量来摆脱压在人民肩上的军备负担。我们要使世界...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_07.txt;Newspaper;Written;1940-1960;2
2058;0,43026951;...程，它改变了很多复杂的生产工序。过去一个采煤掌子从开头工作到[[[运出煤来]]]，要几十道工序。如果能使用水力采煤，那些复杂的采煤过程就可以变...;Given;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_07.txt;Newspaper;Written;1940-1960;2
2056;0,551149015;...和平的力量，在后面追赶着。七十四岁的张奶奶，衣服被汗浸得可以[[[拧出水来]]]，她还在坚持表演。;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_07.txt;Newspaper;Written;1940-1960;2
2024;0,408341097;...透过玻璃板射到布面上去，经过几秒钟时间的暴光，显花的部分就能[[[显出图案来]]]。这种图案和印上去的完全一样。在没有阳光的时候可以用特制的灯光...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_07.txt;Newspaper;Written;1940-1960;2
2030;0,871679408;石板[[[凿出山泉来]]]，;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_07.txt;Newspaper;Written;1940-1960;2
2026;0,916245709;...非同美国谈判不可。美国要使中美大使级会谈能够继续下去，就应该[[[拿出诚意来]]]，而且必须拿出诚意来。美国政府究竟还愿不愿意谈判，究竟有没有诚...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_07.txt;Newspaper;Written;1940-1960;2
2049;0,228244924;从没有人走的地方[[[踏出大路来]]]，;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_07.txt;Newspaper;Written;1940-1960;2
2028;0,323263495;...些光电现象：例如有一些金属（铯、铷、钾等）在光线照射下，就会[[[放出电子来]]]，而且放出电子的数目和照在它上面的光的强弱成比例。;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_07.txt;Newspaper;Written;1940-1960;2
2082;0,567197662;小高炉，土专家，[[[炼出铁来]]]并不差（速写）;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_08.txt;Newspaper;Written;1940-1960;2
2087;0,598779558;...力不足，很多田地未犁耙，插秧工作有错过季节危险的时候，却马上[[[腾出力量来]]]支援。本月8日，这两个乡各抽调了三十多个最强的劳动力——农业社...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_08.txt;Newspaper;Written;1940-1960;2
2096;0,778663747;...，打破了写论文的神秘观点，并由乡社干部带头，围绕中心工作，先[[[写出论文来]]]。贫农出身的社主任方长安，只有小学文化程度，在很短时间内，他一...;Given;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_08.txt;Newspaper;Written;1940-1960;2
2092;0,786674407;...或者是设备供应不上，或者是技术力量不足，等等，很需要各级党委[[[拿出办法来]]]。特别是很需要各级党委书记亲自动手抓一抓，亲临前线督战，解剖几...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_08.txt;Newspaper;Written;1940-1960;2
2074;0,686397814;...需要的东西；材料也是随处皆是，从这些平凡的东西里，我们就能提[[[炼出科学来]]]。这也就在于我们能否破除迷信，敢想敢干。有一个例子能够生动地说...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_08.txt;Newspaper;Written;1940-1960;2
2085;0,009178316;天津市十五中学的矽钢厂是最引人注目的。为了保证[[[炼出矽钢来]]]，高三、高二和初三的二十多名学生在暑期里成立了“共青团炼钢突击...;Given;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_08.txt;Newspaper;Written;1940-1960;2
2093;0,849293748;主席[[[伸出手来]]]，我连忙用双手紧紧握着它。现在，我还后悔当时怎么没有先问主席好...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_08.txt;Newspaper;Written;1940-1960;2
2079;0,643224902;...、在什么学校念过书。梁树楷都一一作了回答。毛主席微笑着又一次[[[伸出手来]]]，梁树楷紧紧地握住。;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_08.txt;Newspaper;Written;1940-1960;2
2092;0,803564415;...包干；全部建设时间，只要半个月。到9月10日，这个厂就可以生[[[产出钢来]]]了。;New;No;No;Present;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_08.txt;Newspaper;Written;1940-1960;2
2078;0,793467379;...般说，近代化的机器总是钢铁制成的，没有足够的钢铁，很难想像生[[[产出机器来]]]。事实却打破了这种设想。为了发展机械工业，人们把水泥提升到钢铁...;Given;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_08.txt;Newspaper;Written;1940-1960;2
2127;0,265797668;...人形：“吴庭艳”）吴庭艳，南越全靠你老兄，有机会你就往北打，[[[打出祸来]]]我担承！艾：（摆一人形：“夏蒙”）叫夏蒙，你真狗熊，黎巴嫩的总...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2112;0,900696277;...材料代替。这个建议遭到一些人的反对：“难道炼铁炉经不起高温能[[[炼出铁来]]]么？你们要实事求是呀！没有耐火砖休想得到铁水。”建议者被批评后...;Given;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2105;0,776544962;...发挥了积极性，认真地为群众服务。望平横街食堂为了方便群众，还[[[抽出人来]]]送饭上门。下沙坝幼儿园开办托婴业务以后，当一些母亲在工厂值夜班...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2123;0,480546635;4、用煤块：把无烟煤砸成相同大小的煤块，也可[[[炼出铁来]]]。;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2102;0,203702366;...苍的学者，或年青稚气的学生，不论是机关干部或是军官和战士，都[[[掏出笔记本来]]]记录。田间是最好的课堂，他们专心一意地在这儿学习起来了。他们谛...;New;No;No;Absent;Indefinite;Absent;Concrete;3;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2116;0,206633049;堂堂美国的总统，[[[说出话来]]]竟荒唐到连三岁小孩都要嗤之以鼻。他居然还有脸皮跑到电视广播台上...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2103;0,799174514;...　在钢铁工业上一向是空白点的西藏高原，最近也急起直追，接连试[[[炼出钢来]]]。29日上午，人民解放军西藏军区拉萨汽车修配厂铸工组用坩埚，在...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2120;0,676246235;...面知识出发再以辩证的观点来分析、判断，任何复杂的问题也都可以[[[找出头绪来]]]。因此，任何科学研究，都会比资产阶级学者专家，更快地得到正确的...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2133;0,220245625;...料制造的轻工业设备已经成功了，有的已用来装备工厂，并且已经生[[[产出产品来]]]。从现在试制成功的新产品来看，轻工业的设备，除钟表业外，大都可...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2124;0,219266504;“喝令高炉煤气[[[交出油来]]]！”;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2125;0,961292217;...人造石油专业有的学生看到这种情况这样想：“如果能把这些煤气合[[[成出油来]]]该多么好！”可是用小高炉煤气合成油，在他们来说也是既没有听说过...;Given;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2129;0,720464836;已经是夜里十点多了。风吹云散，星星一个个[[[探出头来]]]。这时两个青年满头大汗地来到张家。;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2121;0,574635443;...，包括采铁矿和煤矿。现在已经不只是集中力量搞几座“试验炉”，[[[做出样子来]]]的时候了。只搞几座“试验炉”，矿石和焦煤的问题都好解决。现在是...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2109;0,019204814;...。第一次和蒋贼舰较量，就打中了“中字号”贼舰。我们觉得还没有[[[使出劲来]]]，还准备多打它几只呢。;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2122;0,525309734;...十月结婚，现在就推迟结婚。县直机关人员都投入战斗，邮电局专门[[[抽出人来]]]到钢铁基地建立两个电话所；卫生部门在“有病治病，无病炼铁”的口...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_09.txt;Newspaper;Written;1940-1960;2
2171;0,244552834;...更困难。不修路靠人背，在崎岖的道路上行走，要耗费多少劳动力？[[[抽出人来]]]修路，暂时紧张一些；但路修好了，可以走车子，就能节省大量的劳动...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_10.txt;Newspaper;Written;1940-1960;2
2143;0,638754372;...运就换上了一个大炉子。经过两昼夜的苦战，他俩掌握的两个炉子都[[[流出铁水来]]]了。;New;No;No;Present;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_10.txt;Newspaper;Written;1940-1960;2
2139;0,364912143;...道川的两个乡以外，每个乡都已经发现矿藏，在修水利的时候就时常[[[挖出铁矿石来]]]。有铁矿的地方也都有煤炭，不怕没有炼铁用的焦炭。炼铁用的石灰石...;New;No;No;Absent;Indefinite;Absent;Concrete;3;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_10.txt;Newspaper;Written;1940-1960;2
2167;0,814152381;我看着阿妈妮，很久很久没[[[说出话来]]]。;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_10.txt;Newspaper;Written;1940-1960;2
2159;0,51965598;来了共产党，苦难到了头。……社员们听了他这段快板后，都感动得[[[流出泪来]]]，说：“社长真正说出了我们大家的心里话！”立刻激起了社员们对村...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_10.txt;Newspaper;Written;1940-1960;2
2163;0,583372714;...收获，本身就带有很大的突击性，秋收以后，还有许多重要任务需要[[[腾出手来]]]去完成，农产品的收购调运工作，也必须实行突击，必须搞群众运动。...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_10.txt;Newspaper;Written;1940-1960;2
2155;0,654982541;...是取之不尽、用之不竭的文化泉源。只有劳动人民，才能在文化上创[[[造出奇迹来]]]。只有劳动人民，才是建设社会主义的民族的新文化的基本力量。;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_10.txt;Newspaper;Written;1940-1960;2
2145;0,918130959;...男同志还讽刺她们。这十八个妇女个个下定决心，一定要把炉修好，[[[炼出铁来]]]。她们不知如何配料安风管，就虚心向师傅学；通钩拿不起就两个人抬...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_10.txt;Newspaper;Written;1940-1960;2
2140;0,11556534;9月26日早晨，太阳还在山那边没有[[[露出头来]]]，浙江新登县石门乡的几十个村子里，就响起了锣声、哨子声或号声，...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_10.txt;Newspaper;Written;1940-1960;2
2153;0,260737911;...完成，而且还要提前完成，这样才能使生产出来的设备，在今年里发[[[挥出作用来]]]。明年机械工业的产量要准备再翻上几番，能不能完成，关键在明年第...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_10.txt;Newspaper;Written;1940-1960;2
2156;0,570376198;...。硝铵车间在六十多公尺高的造粒塔上安装的一个风力发电机，已经[[[发出电来]]]。吉林市铁路管理局职工将涡轮机安装在暖气锅炉上，带动电动机发电...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_10.txt;Newspaper;Written;1940-1960;2
2211;0,399049272;...赛的对手，不是没有道理的。像许褚那样，一旦杀得性起的时候，便[[[拼出性命来]]]，什么也不顾了，竟至打仗也赤膊上阵，这种精神固然可嘉，办法却实...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2214;0,691713704;...杨玉琪说：“党把这样光荣的任务交给咱们，可得努力钻研，一定要[[[炼出铁来]]]，”杨玉琪笑着说：“只要回、汉社员亲密团结，铁一定会炼出来。”...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2203;0,044072259;...”一书中写道：“中国人在纪元以前已经知道把生铁和熟铁放在一起[[[炼出钢来]]]，正是后世平炉炼钢方法的先声。”;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2186;0,276094308;...炉底的筑炉工人和运砖的女工开展了竞赛。瓦工小组长张洪林从炉内[[[探出头来]]]喊着：“女同志要加油咯，咱们快停工待料啦！”“放心吧，你们砌多...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2201;0,685866952;...—钢桥的安全。所以，挑水坝能否按期完成，关系着截流大局。“要[[[露出岩石来]]]才是胜利”，风钻手们展开了一场和淤泥斗争的恶战。;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2182;0,269954625;这一下，就[[[惹出祸事来]]]了。最近西德弗里德堡县法院当局为这一事件开庭审讯了布鲁亨布吕肯...;New;No;No;Present;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2192;0,864191152;...盐水代替电阻器，很短时间居然把破痰盂做成土电弧炉，从石头中提[[[炼出硅来]]]。这个系的教师虽然有多年教学经验，但是却缺乏实际操作知识，现在...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2184;0,537436224;...们真正地联系了群众，群众一定会提供给我们极其丰富的条件或者创[[[造出条件来]]]。相反地，如果脱离了群众，即使具有再好的条件也没有用场。江苏省...;Given;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2205;0,691540588;...的、比较完整的钢铁工业体系，不只是生产一些钢和铁，而且能自己[[[轧出钢材来]]]，用到生产和建设中去。这种要求，由于全民炼钢铁的群众运动的发展...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2210;0,54947688;黄泥巴腿子要[[[炼出铁来]]]，的确是一件不容易的事情。这两座小高炉，只有两个六十多岁的老技...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2179;0,312824352;...优良作风，也给我们留下了深刻的印象。我们还记得，你们在百忙中[[[抽出时间来]]]和我们一起，参加修操场、植树等建校劳动的情景。你们一到实验室或...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2187;0,476341338;...工广泛地学习了这个重要文献，连下放到农村劳动锻炼的师生们，也[[[抽出时间来]]]进行讨论。工业经济系四年级学生、全国纺织工业劳动模范陈树兰说：...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2180;0,6596893;...”司机很谦虚地说：“这点事算什么，生产钢铁也有我的份。”说完[[[伸出手来]]]向他的乘客一一道别。这时，他们才想起问：“同志，你贵姓？”司机...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2199;0,411295183;...，还没挖出地下水。根据经验，凡是有芦苇和野麻露头的地方，都能[[[挖出地下水来]]]，但越深入沙漠越难遇见野生植物。眼前全是黄澄澄的沙丘。队部每天...;Given;No;No;Absent;Indefinite;Absent;Concrete;3;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2209;0,611002702;...口了，说什么：“细仔不听老人言，走路不稳就想飞。高山里头谁能[[[炼出铁来]]]！”青年们听着个个脸都涨的通红，又难过，又不服气。他们毫不灰心...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_11.txt;Newspaper;Written;1940-1960;2
2250;0,268697433;...他们的每一个进步，要团结一切可能团结的力量，帮助他们在工作上[[[做出成绩来]]]。在学校教学中，在党委领导下要实行工作干部、教师、学生“三结合...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_12.txt;Newspaper;Written;1940-1960;2
2230;0,403192778;...业的学生，许多设备连看都没有看过，他却凭资料、说明书和书本，[[[编出规程来]]]给工人讲课。工人说：“简直是教妈妈养孩子”。;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_12.txt;Newspaper;Written;1940-1960;2
2218;0,578998971;...和工人，充实了力量，要求他们能迅速团结多数群众，用最快的速度[[[作出成绩来]]]。经过一番艰苦的奋斗，战胜了种种困难，到目前为止，已经独立设计...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_12.txt;Newspaper;Written;1940-1960;2
2227;0,790618114;无奈[[[搬出傀儡来]]]，;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_12.txt;Newspaper;Written;1940-1960;2
2226;0,902567322;...地，由于大量养猪积肥，把砂礓地也改良好了。他们每年都从副业中[[[抽出钱来]]]支援农业，仅仅在今年头八个月就抽出副业资金十四万元，购买了拖拉...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_12.txt;Newspaper;Written;1940-1960;2
2232;0,57477168;左同志坚持不懈地掘着水井，第二天过晌，终于[[[涌出泉水来]]]了。;New;No;No;Present;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_12.txt;Newspaper;Written;1940-1960;2
2240;0,81311708;...了，陆主任和她搭积木逗她乐；红红和小辉争皮球闹起来了，陆主任[[[想出办法来]]]调解了纠纷。你们会称赞她是多么懂得儿童心理的人，然而，这还不是...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_12.txt;Newspaper;Written;1940-1960;2
2324;0,098381369;虎一样的战士们个个严阵以待，单等鬼子们[[[露出头角来]]]。;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1958\文学\大陆作家\1958 刘流 烈火金刚.txt;Fiction;Written;1940-1960;2
2280;0,310392681;　　“闹了半天，你们是等着叫敌人把抓走的人们杀了以后，再[[[想出办法来]]]啊！”;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\文学\大陆作家\1958 刘流 烈火金刚.txt;Fiction;Written;1940-1960;2
2327;0,693541096;你想，他有个不害怕吗？这家伙也有心眼儿，他想后退两步[[[掏出手枪来]]]，先把武男义雄、史更新和肖飞打死。;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1950s\1958\文学\大陆作家\1958 刘流 烈火金刚.txt;Fiction;Written;1940-1960;2
2255;0,564014031;她来到史更新的身旁，在挎包里[[[掏出听诊器来]]]，就给史更新检查了一番，检查完了，金区长问她：“怎么样？”;New;No;No;Absent;Indefinite;Absent;Concrete;3;V-chu-N-lai;Y;1950s\1958\文学\大陆作家\1958 刘流 烈火金刚.txt;Fiction;Written;1940-1960;2
